IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,0.686
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,1.632
IEEE Transactions on Cybernetics,3.469
IEEE TRANSACTIONS ON MOBILE COMPUTING,2.527
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,3.447
IEEE INTERNET COMPUTING,2.229
IEEE TRANSACTIONS ON NEURAL NETWORKS,2.825
IEEE TRANSACTIONS ON EDUCATION,1.004
IEEE DESIGN & TEST OF COMPUTERS,1.441
IEEE Transactions on Learning Technologies,1.021
IEEE COMMUNICATIONS LETTERS,1.179
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2.008
IEEE TRANSACTIONS ON PLASMA SCIENCE,1.035
IEEE ROBOTICS & AUTOMATION MAGAZINE,2.246
IEEE SIGNAL PROCESSING MAGAZINE,4.780
IEEE Transactions on Industrial Informatics,3.679
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,1.986
IEEE SECURITY & PRIVACY,0.879
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,2.386
IEEE PHOTONICS TECHNOLOGY LETTERS,2.053
IEEE TRANSACTIONS ON RELIABILITY,1.631
IEEE JOURNAL OF OCEANIC ENGINEERING,1.184
IEEE TRANSACTIONS ON MEDICAL IMAGING,3.673
IEEE Circuits and Systems Magazine,1.673
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,0.432
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,1.930
IEEE SENSORS JOURNAL,1.610
IEEE Transactions on Audio Speech and Language Processing,1.954
IEEE SOFTWARE,1.493
IEEE TRANSACTIONS ON ELECTRON DEVICES,2.320
IEEE JOURNAL OF SOLID-STATE CIRCUITS,3.114
IEEE TRANSACTIONS ON POWER SYSTEMS,2.706
IEEE PERVASIVE COMPUTING,2.088
IEEE TRANSACTIONS ON NANOBIOSCIENCE,1.677
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,0.886
IEEE Computer Architecture Letters,0.839
IEEE ANNALS OF THE HISTORY OF COMPUTING,0.383
IEEE COMMUNICATIONS MAGAZINE,3.533
IEEE WIRELESS COMMUNICATIONS,3.741
IEEE Journal of Photovoltaics,3.082
IEEE TRANSACTIONS ON SIGNAL PROCESSING,2.715
IEEE Transactions on Dependable and Secure Computing,1.365
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,2.148
IEEE TRANSACTIONS ON INFORMATION THEORY,2.615
IEEE Latin America Transactions,0.269
IEEE Transactions on Components Packaging and Manufacturing Technology,1.164
IEEE TRANSACTIONS ON ADVANCED PACKAGING,1.230
IEEE TRANSACTIONS ON BROADCASTING,1.994
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,5.247
IEEE Systems Journal,1.229
IEEE INDUSTRY APPLICATIONS MAGAZINE,0.568
IEEE TRANSACTIONS ON COMPUTERS,1.507
IEEE JOURNAL OF QUANTUM ELECTRONICS,2.026
IEEE TRANSACTIONS ON NANOTECHNOLOGY,1.845
IEEE TRANSACTIONS ON POWER DELIVERY,1.473
IEEE Design & Test,0.959
IEEE Transactions on Autonomous Mental Development,1.826
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,2.415
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,2.547
IEEE-ACM TRANSACTIONS ON NETWORKING,2.031
IEEE COMPUTER GRAPHICS AND APPLICATIONS,1.362
IEEE Computational Intelligence Magazine,3.134
IEEE Transactions on Smart Grid,4.293
IEEE TRANSACTIONS ON IMAGE PROCESSING,3.124
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,1.142
IEEE ELECTRON DEVICE LETTERS,2.790
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,1.081
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,1.176
IEEE TRANSACTIONS ON COMPONENTS AND PACKAGING TECHNOLOGIES,0.986
IEEE Vehicular Technology Magazine,1.366
IEEE ENGINEERING IN MEDICINE AND BIOLOGY MAGAZINE,2.177
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,2.228
IEEE-ASME TRANSACTIONS ON MECHATRONICS,2.998
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,2.144
IEEE Transactions on Terahertz Science and Technology,3.260
IEEE Transactions on Services Computing,2.240
IEEE Transactions on Biomedical Circuits and Systems,2.306
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,3.670
IEEE Power & Energy Magazine,1.994
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2.921
IEEE Journal of Selected Topics in Signal Processing,2.671
IEEE Antennas and Wireless Propagation Letters,1.483
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,1.611
IEEE Transactions on Neural Networks and Learning Systems,4.142
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,1.420
IEEE Transactions on Information Forensics and Security,1.979
IEEE Pulse,0.722
IEEE CONTROL SYSTEMS MAGAZINE,2.485
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,1.191
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,2.883
IEEE Transactions on Affective Computing,3.070
IEEE TRANSACTIONS ON ELECTRONICS PACKAGING MANUFACTURING,1.026
IEEE MULTIMEDIA,1.268
IEEE TRANSACTIONS ON FUZZY SYSTEMS,5.139
IEEE Transactions on Automation Science and Engineering,1.765
IEEE NETWORK,2.572
IEEE Geoscience and Remote Sensing Letters,1.683
IEEE TRANSACTIONS ON COMMUNICATIONS,1.712
IEEE Journal of Biomedical and Health Informatics,1.440
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1.928
IEEE Transactions on Sustainable Energy,3.749
IEEE ANTENNAS AND PROPAGATION MAGAZINE,1.111
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1.657
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,2.108
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,1.214
IEEE Magnetics Letters,1.692
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,1.302
IEEE TRANSACTIONS ON MAGNETICS,1.250
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,0.526
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,1.524
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,2.079
IEEE Intelligent Transportation Systems Magazine,0.821
IEEE Transactions on Haptics,1.581
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2.619
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,5.144
IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,1.937
IEEE SPECTRUM,1.038
IEEE-ACM Transactions on Computational Biology and Bioinformatics,1.674
IEEE Transactions on Systems Man Cybernetics-Systems,1.934
IEEE ELECTRICAL INSULATION MAGAZINE,1.414
IEEE TRANSACTIONS ON MULTIMEDIA,1.897
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,4.390
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2.192
IEEE MICROWAVE MAGAZINE,1.513
IEEE SIGNAL PROCESSING LETTERS,1.465
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,1.854
IEEE TECHNOLOGY AND SOCIETY MAGAZINE,0.460
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,1.808
IEEE Transactions on Robotics,2.548
IEEE MICRO,2.205
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,3.686
IEEE INTELLIGENT SYSTEMS,2.343
IEEE TRANSACTIONS ON POWER ELECTRONICS,4.439
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,1.209
IEEE Industrial Electronics Magazine,3.574
IEEE Communications Surveys and Tutorials,5.623
IEEE Transactions on Human-Machine Systems,1.982
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,1.038
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,1.367
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,2.062
IEEE Transactions on Computational Intelligence and AI in Games,1.490
IEEE Photonics Journal,2.312
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,1.282
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,2.008
IEEE TRANSACTIONS ON ENERGY CONVERSION,2.584
